reporting_date,report_week,case_count_weekly_change
2020/03/24 09:36:00+00,3/18/2020 - 3/24/2020,72
2020/03/31 09:36:00+00,3/25/2020 - 3/31/2020,134
2020/04/07 09:36:00+00,4/1/2020 - 4/7/2020,297
2020/04/14 09:36:00+00,4/8/2020 - 4/14/2020,312
2020/04/21 09:36:00+00,4/15/2020 - 4/21/2020,265
2020/04/28 09:36:00+00,4/22/2020 - 4/28/2020,227
2020/05/05 09:36:00+00,4/29/2020 - 5/5/2020,370
2020/05/12 09:36:00+00,5/6/2020 - 5/12/2020,265
2020/05/19 09:36:00+00,5/13/2020 - 5/19/2020,336
2020/05/26 09:36:00+00,5/20/2020 - 5/26/2020,202
2020/06/02 09:36:00+00,5/27/2020 - 6/2/2020,402
2020/06/09 09:36:00+00,6/3/2020 - 6/9/2020,631
2020/06/16 09:36:00+00,6/10/2020 - 6/16/2020,1363
2020/06/23 09:36:00+00,6/17/2020 - 6/23/2020,2591
2020/06/30 09:36:00+00,6/24/2020 - 6/30/2020,4598
2020/07/07 09:36:00+00,7/1/2020 - 7/7/2020,3815
2020/07/14 09:36:00+00,7/8/2020 - 7/14/2020,5187
2020/07/21 09:36:00+00,7/15/2020 - 7/21/2020,10800
2020/07/28 09:36:00+00,7/22/2020 - 7/28/2020,6117
2020/08/04 09:36:00+00,7/29/2020 - 8/4/2020,3290
2020/08/11 09:36:00+00,8/5/2020 - 8/11/2020,1890
2020/08/18 09:36:00+00,8/12/2020 - 8/18/2020,1101
2020/08/25 09:36:00+00,8/19/2020 - 8/25/2020,1223
2020/09/01 09:36:00+00,8/26/2020 - 9/1/2020,1175
2020/09/08 09:36:00+00,9/2/2020 - 9/8/2020,1073
2020/09/15 09:36:00+00,9/9/2020 - 9/15/2020,2395
2020/09/22 09:36:00+00,9/16/2020 - 9/22/2020,3508
2020/09/29 09:36:00+00,9/23/2020 - 9/29/2020,4038
2020/10/06 09:36:00+00,9/30/2020 - 10/6/2020,1262
2020/10/13 09:36:00+00,10/7/2020 - 10/13/2020,963
2020/10/20 09:36:00+00,10/14/2020 - 10/20/2020,3692
2020/10/27 09:36:00+00,10/21/2020 - 10/27/2020,1347
2020/11/03 09:36:00+00,10/28/2020 - 11/3/2020,1588
2020/11/10 09:36:00+00,11/4/2020 - 11/10/2020,1847
2020/11/17 09:36:00+00,11/11/2020 - 11/17/2020,2152
2020/11/24 09:36:00+00,11/18/2020 - 11/24/2020,5190
2020/12/01 09:36:00+00,11/25/2020 - 12/1/2020,5908
2020/12/08 09:36:00+00,12/2/2020 - 12/8/2020,7864
2020/12/15 09:36:00+00,12/9/2020 - 12/15/2020,6650
2020/12/22 09:36:00+00,12/16/2020 - 12/22/2020,9024
2020/12/29 09:36:00+00,12/23/2020 - 12/29/2020,9198
2021/01/05 09:36:00+00,12/30/2020 - 1/5/2021,10438
2021/01/12 09:36:00+00,1/6/2021 - 1/12/2021,12607
2021/01/19 09:36:00+00,1/13/2021 - 1/19/2021,14824
2021/01/26 09:36:00+00,1/20/2021 - 1/26/2021,10698
2021/02/02 09:36:00+00,1/27/2021 - 2/2/2021,13861
2021/02/09 09:36:00+00,2/3/2021 - 2/9/2021,7994
2021/02/16 09:36:00+00,2/10/2021 - 2/16/2021,4474
2021/02/23 09:36:00+00,2/17/2021 - 2/23/2021,4703
2021/03/02 09:36:00+00,2/24/2021 - 3/2/2021,3104
2021/03/09 09:36:00+00,3/3/2021 - 3/9/2021,1904
2021/03/16 09:36:00+00,3/10/2021 - 3/16/2021,2041
